Date,Open,High,Low,Close,Volume
1755523800,6445.02,6445.02,6443.9,6443.95,0
1755523805,6444.09,6445.39,6444.09,6445.08,0
1755523810,6445.53,6445.94,6444.98,6444.98,0
1755523815,6444.64,6444.64,6443.66,6443.66,0
1755523820,6442.99,6444.0,6442.99,6443.82,0
1755523825,6444.09,6444.33,6443.6,6443.6,0
1755523830,6443.74,6445.04,6443.73,6443.73,0
1755523835,6443.97,6445.05,6443.97,6444.92,0
1755523840,6445.43,6445.93,6445.21,6445.93,0
1755523845,6445.55,6445.71,6445.53,6445.62,0
1755523850,6445.98,6446.68,6445.98,6446.48,0
1755523855,6446.51,6446.68,6446.31,6446.4,0
1755523860,6446.52,6447.5,6446.52,6446.57,0
1755523865,6446.18,6447.18,6446.18,6446.67,0
1755523870,6447.05,6447.29,6445.75,6445.75,0
1755523875,6445.63,6445.79,6445.44,6445.64,0
1755523880,6445.54,6447.82,6445.54,6447.82,0
1755523885,6448.17,6448.17,6447.65,6447.8,0
1755523890,6447.92,6447.92,6446.88,6446.88,0
1755523895,6446.64,6446.64,6445.6,6445.6,0
1755523900,6445.13,6445.66,6445.02,6445.66,0
1755523905,6445.67,6445.67,6444.91,6444.91,0
1755523910,6445.34,6446.0,6445.24,6445.9,0
1755523915,6446.35,6446.61,6446.29,6446.61,0
1755523920,6446.41,6446.41,6445.08,6445.08,0
1755523925,6445.02,6445.71,6445.02,6445.44,0
1755523930,6444.65,6444.82,6444.39,6444.39,0
1755523935,6444.82,6445.17,6444.68,6444.68,0
1755523940,6445.44,6445.7,6444.83,6444.83,0
1755523945,6444.77,6446.03,6444.77,6446.03,0
1755523950,6445.87,6446.49,6445.87,6446.49,0
1755523955,6446.57,6446.61,6446.04,6446.42,0
1755523960,6446.09,6446.09,6445.43,6445.43,0
1755523965,6444.87,6445.56,6444.55,6445.56,0
1755523970,6445.61,6446.05,6445.54,6445.75,0
1755523975,6445.62,6445.62,6445.11,6445.55,0
1755523980,6445.48,6445.65,6445.48,6445.58,0
1755523985,6445.7,6446.14,6444.96,6446.14,0
1755523990,6446.62,6447.09,6446.62,6447.09,0
1755523995,6447.1,6447.71,6447.1,6447.43,0
1755524000,6447.29,6447.86,6447.29,6447.78,0
1755524005,6447.99,6448.08,6447.29,6447.29,0
1755524010,6447.81,6448.35,6447.81,6448.23,0
1755524015,6448.54,6448.69,6448.1,6448.69,0
1755524020,6448.71,6449.15,6448.71,6448.94,0
1755524025,6448.62,6448.81,6448.56,6448.81,0
1755524030,6448.65,6448.66,6448.2,6448.2,0
1755524035,6448.34,6448.4,6448.17,6448.28,0
1755524040,6448.08,6448.08,6447.59,6448.01,0
1755524045,6448.14,6448.14,6447.38,6447.79,0
1755524050,6447.59,6448.56,6447.59,6448.56,0
1755524055,6448.71,6448.88,6448.66,6448.76,0
1755524060,6448.93,6449.8,6448.93,6449.8,0
1755524065,6449.84,6450.51,6449.84,6450.47,0
1755524070,6450.63,6451.07,6450.59,6450.93,0
1755524075,6450.78,6450.81,6450.52,6450.56,0
1755524080,6450.66,6451.13,6450.66,6451.13,0
1755524085,6451.08,6451.1,6451.04,6451.1,0
1755524090,6451.08,6451.23,6450.72,6450.72,0
1755524095,6450.68,6450.72,6450.05,6450.28,0
1755524100,6450.64,6450.64,6449.75,6449.99,0
1755524105,6449.53,6450.07,6449.53,6450.07,0
1755524110,6450.27,6450.27,6449.78,6449.86,0
1755524115,6449.09,6449.09,6448.58,6448.62,0
1755524120,6449.02,6449.04,6448.93,6448.97,0
1755524125,6448.49,6449.42,6448.4,6449.42,0
1755524130,6449.36,6450.04,6449.36,6450.04,0
1755524135,6449.82,6449.82,6449.03,6449.48,0
1755524140,6449.86,6450.38,6449.86,6450.21,0
1755524145,6450.48,6450.57,6450.24,6450.39,0
1755524150,6450.12,6450.36,6449.99,6449.99,0
1755524155,6449.67,6449.71,6449.4,6449.71,0
1755524160,6449.97,6450.12,6449.73,6449.73,0
1755524165,6449.62,6450.06,6449.62,6450.05,0
1755524170,6449.77,6450.43,6449.77,6450.43,0
1755524175,6450.75,6450.83,6450.57,6450.81,0
1755524180,6450.59,6450.64,6450.36,6450.57,0
1755524185,6450.82,6451.2,6450.63,6450.74,0
1755524190,6450.85,6451.11,6450.67,6451.11,0
1755524195,6450.71,6450.87,6450.56,6450.86,0
1755524200,6450.92,6451.04,6450.84,6450.84,0
1755524205,6450.77,6450.77,6449.21,6449.21,0
1755524210,6449.39,6449.94,6449.19,6449.94,0
1755524215,6449.75,6450.43,6449.71,6449.71,0
1755524220,6449.67,6449.67,6449.19,6449.19,0
1755524225,6449.33,6449.44,6449.33,6449.41,0
