Date,Open,High,Low,Close,Volume
1753344000,172.79,173.0,172.56,172.69,25
1753344005,172.69,172.79,172.69,172.79,5
1753344010,172.63,172.63,172.62,172.62,12
1753344015,172.62,172.62,172.62,172.62,0
1753344020,172.59,172.59,172.52,172.52,2
1753344025,172.57,172.59,172.46,172.46,4
1753344030,172.48,172.48,172.48,172.48,3
1753344035,172.52,172.52,172.52,172.52,1
1753344040,172.52,172.52,172.52,172.52,0
1753344045,172.52,172.52,172.52,172.52,0
1753344050,172.47,172.47,172.45,172.45,17
1753344055,172.45,172.45,172.45,172.45,0
1753344060,172.5,172.5,172.5,172.5,1
1753344065,172.5,172.54,172.5,172.54,6
1753344070,172.54,172.54,172.54,172.54,0
1753344075,172.59,172.59,172.54,172.54,2
1753344080,172.57,172.57,172.55,172.55,2
1753344085,172.57,172.57,172.51,172.53,5
1753344090,172.52,172.52,172.45,172.45,11
1753344095,172.45,172.45,172.45,172.45,0
1753344100,172.5,172.5,172.45,172.45,6
1753344105,172.49,172.5,172.49,172.5,3
1753344110,172.5,172.5,172.49,172.49,4
1753344115,172.47,172.49,172.47,172.49,4
1753344120,172.5,172.5,172.48,172.48,7
1753344125,172.47,172.49,172.46,172.48,6
1753344130,172.49,172.49,172.49,172.49,2
1753344135,172.48,172.48,172.46,172.46,4
1753344140,172.43,172.43,172.41,172.41,8
1753344145,172.4,172.41,172.4,172.41,5
1753344150,172.41,172.41,172.41,172.41,0
1753344155,172.41,172.41,172.41,172.41,0
1753344160,172.31,172.31,172.28,172.28,17
1753344165,172.28,172.28,172.28,172.28,1
1753344170,172.27,172.27,172.24,172.25,36
1753344175,172.25,172.25,172.25,172.25,6
1753344180,172.23,172.23,172.21,172.21,6
1753344185,172.24,172.24,172.2,172.2,16
1753344190,172.23,172.23,172.18,172.18,17
1753344195,172.18,172.19,172.18,172.19,3
1753344200,172.21,172.21,172.18,172.21,7
1753344205,172.18,172.18,172.18,172.18,4
1753344210,172.17,172.23,172.17,172.23,24
1753344215,172.27,172.27,172.23,172.23,2
1753344220,172.23,172.23,172.23,172.23,0
1753344225,172.23,172.23,172.23,172.23,0
1753344230,172.33,172.33,172.33,172.33,2
1753344235,172.32,172.33,172.32,172.33,2
1753344240,172.3,172.3,172.3,172.3,2
1753344245,172.3,172.3,172.22,172.27,4
1753344250,172.27,172.27,172.27,172.27,1
1753344255,172.26,172.34,172.26,172.34,11
1753344260,172.34,172.34,172.34,172.34,0
1753344265,172.31,172.35,172.31,172.33,10
1753344270,172.33,172.33,172.33,172.33,8
1753344275,172.33,172.33,172.33,172.33,10
1753344280,172.33,172.33,172.33,172.33,4
1753344285,172.33,172.34,172.33,172.33,10
1753344290,172.35,172.35,172.35,172.35,2
1753344295,172.35,172.35,172.35,172.35,3
1753344300,172.35,172.35,172.35,172.35,0
1753344305,172.38,172.38,172.38,172.38,1
1753344310,172.41,172.46,172.41,172.46,8
1753344315,172.45,172.45,172.45,172.45,2
1753344320,172.45,172.45,172.45,172.45,0
1753344325,172.42,172.44,172.42,172.44,2
1753344330,172.45,172.46,172.45,172.45,8
1753344335,172.43,172.43,172.41,172.41,2
1753344340,172.39,172.39,172.39,172.39,1
1753344345,172.38,172.38,172.38,172.38,4
1753344350,172.39,172.39,172.37,172.38,4
1753344355,172.38,172.38,172.38,172.38,0
1753344360,172.37,172.37,172.35,172.35,20
1753344365,172.35,172.35,172.35,172.35,0
1753344370,172.36,172.36,172.36,172.36,1
1753344375,172.36,172.36,172.36,172.36,1
1753344380,172.36,172.36,172.36,172.36,0
1753344385,172.36,172.38,172.36,172.38,5
1753344390,172.42,172.43,172.42,172.43,4
1753344395,172.38,172.41,172.38,172.41,9
1753344400,172.4,172.4,172.4,172.4,3
1753344405,172.37,172.37,172.36,172.36,11
1753344410,172.36,172.36,172.35,172.35,11
1753344415,172.38,172.38,172.37,172.37,2
1753344420,172.35,172.35,172.35,172.35,2
1753344425,172.34,172.34,172.34,172.34,1
1753344430,172.34,172.34,172.34,172.34,0
1753344435,172.32,172.32,172.3,172.3,19
1753344440,172.27,172.29,172.26,172.29,17
1753344445,172.28,172.28,172.28,172.28,2
1753344450,172.3,172.3,172.3,172.3,2
1753344455,172.32,172.34,172.32,172.34,10
1753344460,172.37,172.38,172.37,172.38,5
1753344465,172.38,172.38,172.38,172.38,0
1753344470,172.4,172.4,172.4,172.4,9
1753344475,172.4,172.4,172.4,172.4,0
1753344480,172.4,172.4,172.4,172.4,0
1753344485,172.43,172.57,172.43,172.57,21
1753344490,172.57,172.57,172.57,172.57,0
1753344495,172.56,172.56,172.56,172.56,3
1753344500,172.56,172.56,172.56,172.56,0
1753344505,172.6,172.6,172.6,172.6,1
1753344510,172.62,172.62,172.6,172.61,12
1753344515,172.61,172.61,172.61,172.61,0
1753344520,172.61,172.61,172.61,172.61,0
1753344525,172.64,172.68,172.61,172.61,26
1753344530,172.64,172.64,172.64,172.64,4
1753344535,172.62,172.62,172.62,172.62,1
1753344540,172.68,172.68,172.68,172.68,2
1753344545,172.68,172.7,172.68,172.7,5
1753344550,172.69,172.7,172.69,172.7,4
1753344555,172.7,172.73,172.69,172.73,12
1753344560,172.69,172.69,172.67,172.67,6
1753344565,172.67,172.67,172.67,172.67,0
1753344570,172.67,172.67,172.67,172.67,0
1753344575,172.67,172.67,172.67,172.67,0
1753344580,172.67,172.67,172.67,172.67,0
1753344585,172.77,172.77,172.77,172.77,1
1753344590,172.77,172.77,172.77,172.77,1
1753344595,172.73,172.73,172.73,172.73,1
1753344600,172.74,172.79,172.74,172.79,15
1753344605,172.79,172.79,172.79,172.79,0
1753344610,172.79,172.79,172.79,172.79,1
1753344615,172.79,172.79,172.79,172.79,0
1753344620,172.77,172.77,172.75,172.75,4
1753344625,172.74,172.74,172.73,172.73,2
1753344630,172.75,172.75,172.75,172.75,2
1753344635,172.73,172.73,172.71,172.72,5
1753344640,172.72,172.72,172.72,172.72,0
1753344645,172.72,172.73,172.72,172.73,7
1753344650,172.73,172.73,172.73,172.73,0
1753344655,172.75,172.75,172.72,172.74,14
1753344660,172.76,172.77,172.76,172.76,57
1753344665,172.76,172.76,172.76,172.76,0
1753344670,172.77,172.77,172.75,172.75,8
1753344675,172.72,172.72,172.72,172.72,1
1753344680,172.74,172.74,172.74,172.74,2
1753344685,172.77,172.77,172.77,172.77,1
1753344690,172.75,172.77,172.75,172.77,4
1753344695,172.77,172.77,172.77,172.77,0
1753344700,172.77,172.77,172.77,172.77,0
1753344705,172.77,172.77,172.77,172.77,0
1753344710,172.77,172.77,172.77,172.77,2
1753344715,172.71,172.71,172.7,172.7,5
1753344720,172.7,172.7,172.7,172.7,0
1753344725,172.71,172.71,172.7,172.7,6
1753344730,172.71,172.71,172.71,172.71,4
1753344735,172.71,172.71,172.71,172.71,0
1753344740,172.71,172.71,172.71,172.71,0
1753344745,172.71,172.71,172.71,172.71,0
1753344750,172.74,172.74,172.74,172.74,3
1753344755,172.74,172.74,172.74,172.74,0
1753344760,172.74,172.74,172.74,172.74,0
1753344765,172.74,172.74,172.74,172.74,0
1753344770,172.74,172.74,172.74,172.74,0
1753344775,172.74,172.74,172.74,172.74,0
1753344780,172.74,172.74,172.74,172.74,0
1753344785,172.74,172.74,172.74,172.74,19
1753344790,172.77,172.77,172.77,172.77,2
1753344795,172.77,172.77,172.77,172.77,0
1753344800,172.77,172.77,172.77,172.77,0
1753344805,172.76,172.76,172.76,172.76,1
1753344810,172.75,172.76,172.75,172.76,7
1753344815,172.75,172.75,172.7,172.7,14
1753344820,172.7,172.7,172.7,172.7,0
1753344825,172.71,172.71,172.71,172.71,1
1753344830,172.72,172.72,172.72,172.72,1
1753344835,172.73,172.73,172.73,172.73,1
1753344840,172.73,172.73,172.73,172.73,0
1753344845,172.71,172.71,172.7,172.7,11
1753344850,172.68,172.68,172.66,172.66,3
1753344855,172.68,172.69,172.68,172.69,2
1753344860,172.69,172.69,172.69,172.69,0
1753344865,172.69,172.69,172.69,172.69,0
1753344870,172.69,172.69,172.69,172.69,0
1753344875,172.69,172.69,172.69,172.69,0
1753344880,172.65,172.65,172.65,172.65,2
1753344885,172.65,172.65,172.65,172.65,0
1753344890,172.65,172.65,172.65,172.65,1
1753344895,172.65,172.65,172.65,172.65,4
1753344900,172.69,172.69,172.69,172.69,3
1753344905,172.69,172.69,172.69,172.69,0
1753344910,172.69,172.69,172.69,172.69,0
1753344915,172.69,172.69,172.69,172.69,0
1753344920,172.67,172.67,172.67,172.67,3
1753344925,172.69,172.7,172.69,172.7,2
1753344930,172.7,172.7,172.7,172.7,0
1753344935,172.7,172.7,172.7,172.7,0
1753344940,172.7,172.7,172.7,172.7,0
1753344945,172.7,172.7,172.7,172.7,0
1753344950,172.7,172.7,172.7,172.7,0
1753344955,172.7,172.7,172.7,172.7,0
1753344960,172.7,172.7,172.7,172.7,0
1753344965,172.7,172.7,172.69,172.69,11
1753344970,172.71,172.74,172.71,172.74,6
1753344975,172.74,172.74,172.74,172.74,0
1753344980,172.74,172.74,172.74,172.74,0
1753344985,172.74,172.74,172.74,172.74,0
1753344990,172.74,172.74,172.74,172.74,0
1753344995,172.74,172.74,172.74,172.74,0
1753345000,172.74,172.74,172.74,172.74,0
1753345005,172.74,172.74,172.74,172.74,0
1753345010,172.69,172.69,172.67,172.69,8
1753345015,172.72,172.72,172.72,172.72,2
1753345020,172.72,172.72,172.72,172.72,0
1753345025,172.72,172.72,172.72,172.72,0
1753345030,172.72,172.72,172.72,172.72,0
1753345035,172.72,172.72,172.72,172.72,0
1753345040,172.72,172.72,172.72,172.72,0
1753345045,172.74,172.78,172.74,172.78,5
1753345050,172.77,172.77,172.77,172.77,2
1753345055,172.77,172.77,172.77,172.77,0
1753345060,172.75,172.75,172.75,172.75,1
1753345065,172.75,172.75,172.75,172.75,0
1753345070,172.76,172.77,172.76,172.77,13
1753345075,172.77,172.77,172.77,172.77,0
1753345080,172.77,172.77,172.77,172.77,0
1753345085,172.71,172.71,172.7,172.7,3
1753345090,172.7,172.7,172.7,172.7,0
1753345095,172.7,172.7,172.7,172.7,4
1753345100,172.7,172.7,172.7,172.7,0
1753345105,172.7,172.72,172.7,172.72,2
1753345110,172.71,172.71,172.71,172.71,1
1753345115,172.71,172.71,172.71,172.71,0
1753345120,172.71,172.71,172.71,172.71,0
1753345125,172.7,172.7,172.7,172.7,2
1753345130,172.7,172.7,172.7,172.7,0
1753345135,172.7,172.7,172.7,172.7,0
1753345140,172.7,172.7,172.7,172.7,0
1753345145,172.7,172.7,172.7,172.7,0
1753345150,172.7,172.7,172.7,172.7,0
1753345155,172.69,172.69,172.69,172.69,1
1753345160,172.69,172.69,172.69,172.69,0
1753345165,172.68,172.68,172.68,172.68,1
1753345170,172.68,172.68,172.68,172.68,1
1753345175,172.68,172.68,172.68,172.68,0
1753345180,172.68,172.68,172.68,172.68,2
1753345185,172.67,172.67,172.67,172.67,1
1753345190,172.67,172.67,172.67,172.67,0
1753345195,172.67,172.67,172.67,172.67,0
1753345200,172.67,172.67,172.67,172.67,0
1753345205,172.68,172.68,172.67,172.67,6
1753345210,172.67,172.67,172.67,172.67,0
1753345215,172.67,172.67,172.67,172.67,0
1753345220,172.67,172.67,172.67,172.67,0
1753345225,172.67,172.67,172.67,172.67,0
1753345230,172.67,172.67,172.67,172.67,0
1753345235,172.67,172.67,172.67,172.67,0
1753345240,172.67,172.67,172.67,172.67,0
1753345245,172.67,172.67,172.67,172.67,0
1753345250,172.64,172.64,172.64,172.64,1
1753345255,172.64,172.64,172.64,172.64,1
1753345260,172.64,172.64,172.64,172.64,0
1753345265,172.64,172.64,172.64,172.64,0
1753345270,172.64,172.64,172.64,172.64,0
1753345275,172.63,172.63,172.6,172.6,6
1753345280,172.62,172.62,172.62,172.62,3
1753345285,172.62,172.62,172.62,172.62,0
1753345290,172.62,172.62,172.6,172.6,5
1753345295,172.59,172.59,172.54,172.54,37
1753345300,172.54,172.54,172.54,172.54,0
1753345305,172.54,172.54,172.54,172.54,3
1753345310,172.54,172.54,172.54,172.54,0
1753345315,172.54,172.54,172.54,172.54,0
1753345320,172.54,172.54,172.54,172.54,0
1753345325,172.54,172.54,172.54,172.54,0
1753345330,172.54,172.54,172.54,172.54,0
1753345335,172.54,172.54,172.54,172.54,0
1753345340,172.58,172.58,172.58,172.58,2
1753345345,172.58,172.58,172.58,172.58,0
1753345350,172.59,172.59,172.59,172.59,1
1753345355,172.59,172.59,172.59,172.59,0
1753345360,172.59,172.59,172.59,172.59,0
1753345365,172.59,172.59,172.59,172.59,0
1753345370,172.6,172.6,172.6,172.6,1
1753345375,172.6,172.6,172.6,172.6,0
1753345380,172.6,172.6,172.6,172.6,0
1753345385,172.63,172.63,172.63,172.63,1
1753345390,172.64,172.64,172.64,172.64,1
1753345395,172.64,172.64,172.64,172.64,0
1753345400,172.64,172.64,172.64,172.64,0
1753345405,172.64,172.64,172.64,172.64,0
1753345410,172.68,172.68,172.68,172.68,1
1753345415,172.68,172.68,172.68,172.68,0
1753345420,172.68,172.68,172.68,172.68,0
1753345425,172.66,172.66,172.66,172.66,2
1753345430,172.66,172.66,172.66,172.66,0
1753345435,172.68,172.68,172.68,172.68,2
1753345440,172.68,172.68,172.68,172.68,0
1753345445,172.68,172.68,172.68,172.68,0
1753345450,172.68,172.68,172.68,172.68,1
1753345455,172.68,172.68,172.68,172.68,0
1753345460,172.68,172.68,172.68,172.68,0
1753345465,172.68,172.68,172.68,172.68,0
1753345470,172.7,172.71,172.7,172.7,9
1753345475,172.66,172.68,172.66,172.68,4
1753345480,172.65,172.65,172.65,172.65,1
1753345485,172.65,172.65,172.65,172.65,0
1753345490,172.65,172.65,172.65,172.65,1
1753345495,172.65,172.65,172.65,172.65,0
1753345500,172.65,172.65,172.65,172.65,0
1753345505,172.65,172.65,172.65,172.65,0
1753345510,172.65,172.65,172.65,172.65,0
1753345515,172.65,172.65,172.65,172.65,0
1753345520,172.65,172.65,172.65,172.65,0
1753345525,172.65,172.65,172.65,172.65,0
1753345530,172.65,172.65,172.65,172.65,0
1753345535,172.65,172.65,172.65,172.65,0
1753345540,172.65,172.65,172.65,172.65,0
1753345545,172.65,172.65,172.65,172.65,0
1753345550,172.65,172.65,172.65,172.65,0
1753345555,172.65,172.65,172.65,172.65,1
1753345560,172.65,172.65,172.65,172.65,0
1753345565,172.65,172.65,172.65,172.65,0
1753345570,172.65,172.65,172.65,172.65,0
1753345575,172.65,172.65,172.65,172.65,0
1753345580,172.67,172.67,172.65,172.67,12
1753345585,172.67,172.67,172.67,172.67,0
1753345590,172.67,172.67,172.67,172.67,0
1753345595,172.67,172.67,172.67,172.67,0
1753345600,172.68,172.68,172.68,172.68,2
1753345605,172.68,172.68,172.68,172.68,0
1753345610,172.68,172.68,172.68,172.68,0
1753345615,172.67,172.67,172.67,172.67,1
1753345620,172.67,172.67,172.67,172.67,0
1753345625,172.67,172.67,172.67,172.67,0
1753345630,172.64,172.64,172.64,172.64,1
1753345635,172.64,172.64,172.64,172.64,0
1753345640,172.64,172.64,172.64,172.64,0
1753345645,172.64,172.64,172.64,172.64,0
1753345650,172.64,172.64,172.64,172.64,0
1753345655,172.64,172.64,172.64,172.64,0
1753345660,172.64,172.64,172.62,172.62,2
1753345665,172.62,172.62,172.62,172.62,0
1753345670,172.64,172.7,172.64,172.67,26
1753345675,172.67,172.67,172.67,172.67,0
1753345680,172.66,172.68,172.66,172.68,3
1753345685,172.67,172.67,172.67,172.67,1
1753345690,172.68,172.68,172.68,172.68,5
1753345695,172.68,172.68,172.68,172.68,0
1753345700,172.69,172.69,172.69,172.69,1
1753345705,172.69,172.69,172.69,172.69,0
1753345710,172.69,172.69,172.69,172.69,0
1753345715,172.69,172.69,172.69,172.69,0
1753345720,172.69,172.69,172.69,172.69,0
1753345725,172.69,172.69,172.69,172.69,0
1753345730,172.69,172.69,172.69,172.69,0
1753345735,172.69,172.69,172.69,172.69,0
1753345740,172.69,172.69,172.69,172.69,0
1753345745,172.69,172.69,172.69,172.69,0
1753345750,172.69,172.69,172.69,172.69,0
1753345755,172.69,172.69,172.69,172.69,0
1753345760,172.69,172.69,172.69,172.69,0
1753345765,172.69,172.69,172.69,172.69,0
1753345770,172.69,172.69,172.69,172.69,0
1753345775,172.7,172.7,172.69,172.69,14
