Date,Open,High,Low,Close,Volume
1762957800,684.82,684.87,684.55,684.65,5687
1762957805,684.65,684.69,684.61,684.61,1051
1762957810,684.61,684.64,684.52,684.52,1328
1762957815,684.53,684.6,684.53,684.57,909
1762957820,684.57,684.59,684.5,684.5,705
1762957825,684.51,684.52,684.4,684.51,717
1762957830,684.51,684.61,684.48,684.55,2181
1762957835,684.55,684.59,684.52,684.53,545
1762957840,684.53,684.53,684.47,684.5,278
1762957845,684.5,684.5,684.35,684.38,509
1762957850,684.38,684.45,684.37,684.45,397
1762957855,684.44,684.45,684.4,684.42,351
1762957860,684.42,684.46,684.35,684.35,1360
1762957865,684.36,684.42,684.2,684.25,984
1762957870,684.26,684.29,684.23,684.23,341
1762957875,684.24,684.28,684.18,684.27,748
1762957880,684.28,684.32,684.24,684.25,508
1762957885,684.25,684.29,684.2,684.22,568
1762957890,684.21,684.23,684.15,684.22,266
1762957895,684.21,684.22,684.12,684.14,655
1762957900,684.13,684.13,684.04,684.06,215
1762957905,684.05,684.05,683.93,683.99,992
1762957910,683.99,684.14,683.99,684.13,410
1762957915,684.12,684.13,684.05,684.11,462
1762957920,684.1,684.2,683.99,684.18,504
1762957925,684.18,684.21,684.12,684.14,417
1762957930,684.13,684.22,684.13,684.17,248
1762957935,684.18,684.18,684.11,684.13,316
1762957940,684.15,684.19,684.12,684.13,328
1762957945,684.14,684.16,684.07,684.1,399
1762957950,684.11,684.13,684.03,684.05,322
1762957955,684.04,684.1,684.02,684.1,322
1762957960,684.1,684.17,684.04,684.14,405
1762957965,684.13,684.13,684.02,684.09,261
1762957970,684.09,684.18,684.05,684.18,99
1762957975,684.19,684.26,684.17,684.26,300
1762957980,684.25,684.37,684.23,684.36,633
1762957985,684.36,684.39,684.31,684.35,830
1762957990,684.37,684.4,684.29,684.32,501
1762957995,684.32,684.41,684.31,684.37,1059
1762958000,684.38,684.46,684.35,684.41,558
1762958005,684.42,684.44,684.4,684.41,263
1762958010,684.4,684.4,684.3,684.34,232
1762958015,684.34,684.34,684.28,684.34,142
1762958020,684.34,684.34,684.26,684.28,234
1762958025,684.29,684.33,684.22,684.22,323
1762958030,684.23,684.26,684.2,684.21,384
1762958035,684.22,684.33,684.21,684.32,546
