Date,Open,High,Low,Close,Volume
1731508200,597.32,597.44,597.32,597.43,3698
1731508205,597.43,597.49,597.39,597.46,490
1731508210,597.42,597.42,597.33,597.33,599
1731508215,597.33,597.44,597.3,597.44,435
1731508220,597.45,597.51,597.41,597.41,383
1731508225,597.38,597.48,597.33,597.43,399
1731508230,597.45,597.45,597.36,597.4,231
1731508235,597.39,597.41,597.31,597.31,182
1731508240,597.32,597.44,597.3,597.4,267
1731508245,597.41,597.46,597.38,597.46,135
1731508250,597.47,597.48,597.44,597.48,123
1731508255,597.47,597.52,597.4,597.47,273
1731508260,597.47,597.49,597.37,597.37,294
1731508265,597.35,597.48,597.35,597.42,310
1731508270,597.38,597.44,597.36,597.36,80
1731508275,597.36,597.43,597.36,597.43,117
1731508280,597.4,597.44,597.39,597.44,64
1731508285,597.45,597.49,597.38,597.38,130
1731508290,597.37,597.41,597.33,597.33,161
1731508295,597.33,597.38,597.27,597.38,110
1731508300,597.37,597.42,597.37,597.38,130
1731508305,597.38,597.39,597.3,597.32,29
1731508310,597.34,597.34,597.22,597.24,284
1731508315,597.25,597.27,597.21,597.23,138
1731508320,597.22,597.22,597.16,597.2,175
1731508325,597.16,597.18,597.12,597.16,261
1731508330,597.16,597.26,597.14,597.23,269
1731508335,597.26,597.28,597.17,597.19,213
1731508340,597.19,597.25,597.15,597.25,250
1731508345,597.27,597.34,597.26,597.34,119
1731508350,597.37,597.45,597.35,597.45,153
1731508355,597.46,597.47,597.4,597.43,69
1731508360,597.43,597.5,597.42,597.5,493
1731508365,597.52,597.53,597.44,597.44,1306
1731508370,597.42,597.46,597.42,597.45,134
1731508375,597.45,597.45,597.39,597.4,210
1731508380,597.43,597.46,597.37,597.38,131
1731508385,597.37,597.44,597.37,597.44,95
1731508390,597.45,597.45,597.38,597.38,145
1731508395,597.41,597.5,597.4,597.5,338
1731508400,597.51,597.52,597.49,597.5,74
1731508405,597.5,597.52,597.49,597.49,589
1731508410,597.51,597.52,597.44,597.44,124
1731508415,597.44,597.44,597.38,597.38,61
1731508420,597.38,597.39,597.31,597.36,120
1731508425,597.38,597.47,597.35,597.45,116
1731508430,597.48,597.49,597.42,597.42,109
1731508435,597.42,597.44,597.42,597.44,65
1731508440,597.48,597.53,597.47,597.52,725
1731508445,597.52,597.54,597.43,597.45,591
1731508450,597.44,597.53,597.44,597.52,28
1731508455,597.54,597.54,597.44,597.48,157
1731508460,597.47,597.6,597.45,597.55,2044
