Date,Open,High,Low,Close,Volume
1758547800,662.19,662.28,662.17,662.27,5989
1758547805,662.26,662.31,662.21,662.29,960
1758547810,662.28,662.42,662.18,662.31,1457
1758547815,662.31,662.33,662.26,662.29,483
1758547820,662.29,662.33,662.24,662.27,549
1758547825,662.28,662.29,662.24,662.29,514
1758547830,662.3,662.38,662.29,662.32,481
1758547835,662.3,662.35,662.28,662.31,442
1758547840,662.31,662.36,662.28,662.36,1082
1758547845,662.36,662.46,662.34,662.46,881
1758547850,662.45,662.47,662.38,662.43,709
1758547855,662.41,662.47,662.37,662.46,331
1758547860,662.46,662.46,662.3,662.37,1567
1758547865,662.37,662.39,662.32,662.32,552
1758547870,662.33,662.36,662.26,662.31,758
1758547875,662.31,662.35,662.26,662.34,408
1758547880,662.33,662.45,662.3,662.42,500
1758547885,662.44,662.58,662.43,662.56,546
1758547890,662.56,662.56,662.41,662.44,389
1758547895,662.43,662.49,662.41,662.46,365
1758547900,662.48,662.5,662.45,662.49,352
1758547905,662.48,662.5,662.44,662.5,709
1758547910,662.51,662.54,662.47,662.48,382
1758547915,662.5,662.62,662.5,662.62,435
1758547920,662.62,662.62,662.57,662.59,399
1758547925,662.59,662.62,662.55,662.57,625
1758547930,662.57,662.62,662.55,662.6,347
1758547935,662.61,662.7,662.58,662.7,376
1758547940,662.7,662.72,662.67,662.69,321
1758547945,662.69,662.69,662.64,662.68,699
1758547950,662.68,662.69,662.64,662.68,885
1758547955,662.67,662.68,662.61,662.65,1342
1758547960,662.65,662.69,662.61,662.65,658
1758547965,662.64,662.69,662.6,662.68,276
1758547970,662.69,662.75,662.69,662.72,296
1758547975,662.74,662.77,662.72,662.74,458
1758547980,662.74,662.76,662.69,662.76,645
1758547985,662.76,662.78,662.73,662.78,571
1758547990,662.78,662.8,662.77,662.79,536
1758547995,662.78,662.79,662.77,662.77,284
1758548000,662.78,662.8,662.72,662.73,646
1758548005,662.74,662.78,662.71,662.72,446
1758548010,662.7,662.73,662.68,662.68,328
1758548015,662.69,662.7,662.65,662.66,213
1758548020,662.66,662.7,662.58,662.59,540
1758548025,662.59,662.61,662.54,662.56,422
1758548030,662.56,662.6,662.55,662.55,516
1758548035,662.54,662.59,662.52,662.57,1597
1758548040,662.58,662.63,662.56,662.58,532
1758548045,662.57,662.64,662.55,662.64,538
1758548050,662.64,662.65,662.59,662.59,281
1758548055,662.58,662.64,662.58,662.64,721
1758548060,662.64,662.69,662.63,662.69,643
1758548065,662.7,662.73,662.67,662.68,293
1758548070,662.68,662.7,662.64,662.65,486
1758548075,662.64,662.68,662.61,662.67,357
1758548080,662.66,662.69,662.65,662.68,296
1758548085,662.69,662.7,662.64,662.7,417
1758548090,662.69,662.7,662.67,662.69,245
1758548095,662.68,662.68,662.64,662.65,292
1758548100,662.65,662.65,662.57,662.6,981
1758548105,662.6,662.66,662.57,662.66,772
1758548110,662.65,662.68,662.63,662.67,410
1758548115,662.65,662.66,662.61,662.63,356
1758548120,662.62,662.67,662.58,662.61,526
1758548125,662.63,662.64,662.57,662.58,542
1758548130,662.58,662.6,662.56,662.58,408
1758548135,662.57,662.63,662.57,662.6,312
1758548140,662.6,662.62,662.54,662.54,473
1758548145,662.53,662.61,662.53,662.57,383
1758548150,662.57,662.6,662.56,662.56,274
1758548155,662.56,662.56,662.5,662.52,606
1758548160,662.52,662.54,662.48,662.5,693
1758548165,662.5,662.52,662.48,662.5,844
1758548170,662.49,662.49,662.4,662.47,778
1758548175,662.46,662.49,662.46,662.47,337
1758548180,662.46,662.46,662.4,662.42,328
1758548185,662.41,662.49,662.4,662.45,483
1758548190,662.46,662.49,662.45,662.48,592
1758548195,662.48,662.54,662.47,662.53,249
1758548200,662.52,662.58,662.49,662.58,525
1758548205,662.58,662.6,662.56,662.6,476
1758548210,662.61,662.64,662.6,662.61,404
1758548215,662.62,662.69,662.61,662.68,297
1758548220,662.68,662.69,662.61,662.64,594
1758548225,662.64,662.65,662.63,662.63,281
1758548230,662.64,662.7,662.64,662.69,632
1758548235,662.69,662.71,662.64,662.64,483
1758548240,662.64,662.64,662.58,662.59,560
1758548245,662.58,662.64,662.58,662.59,414
1758548250,662.6,662.61,662.56,662.57,206
1758548255,662.57,662.61,662.55,662.55,281
1758548260,662.56,662.61,662.55,662.57,464
1758548265,662.6,662.67,662.6,662.67,288
1758548270,662.68,662.7,662.67,662.68,262
1758548275,662.69,662.69,662.65,662.67,436
1758548280,662.67,662.69,662.65,662.67,294
1758548285,662.66,662.66,662.61,662.62,239
1758548290,662.62,662.67,662.61,662.67,242
1758548295,662.67,662.69,662.64,662.66,232
1758548300,662.67,662.7,662.65,662.67,417
1758548305,662.68,662.71,662.62,662.63,367
1758548310,662.63,662.69,662.63,662.66,253
1758548315,662.66,662.67,662.62,662.63,194
1758548320,662.64,662.67,662.63,662.67,382
1758548325,662.68,662.69,662.63,662.65,355
1758548330,662.65,662.66,662.64,662.65,124
1758548335,662.64,662.65,662.62,662.63,291
1758548340,662.63,662.66,662.61,662.62,231
1758548345,662.63,662.63,662.53,662.53,580
1758548350,662.54,662.54,662.47,662.48,388
1758548355,662.48,662.49,662.47,662.48,92
1758548360,662.49,662.5,662.46,662.46,376
1758548365,662.45,662.47,662.39,662.43,400
1758548370,662.44,662.44,662.39,662.39,234
1758548375,662.38,662.39,662.3,662.34,407
1758548380,662.34,662.43,662.32,662.42,657
1758548385,662.42,662.45,662.4,662.42,281
1758548390,662.41,662.42,662.36,662.39,268
1758548395,662.39,662.43,662.39,662.41,171
1758548400,662.39,662.39,662.29,662.29,424
1758548405,662.28,662.29,662.25,662.28,471
1758548410,662.28,662.29,662.25,662.29,224
1758548415,662.29,662.29,662.25,662.26,347
1758548420,662.26,662.32,662.23,662.32,294
1758548425,662.31,662.34,662.29,662.34,177
1758548430,662.34,662.39,662.32,662.33,237
1758548435,662.33,662.35,662.3,662.34,773
1758548440,662.35,662.37,662.31,662.31,459
1758548445,662.31,662.32,662.3,662.31,175
1758548450,662.32,662.32,662.26,662.3,382
1758548455,662.3,662.32,662.27,662.3,397
1758548460,662.3,662.32,662.26,662.27,601
1758548465,662.25,662.34,662.23,662.34,362
1758548470,662.34,662.4,662.32,662.32,481
1758548475,662.3,662.33,662.26,662.26,358
1758548480,662.28,662.29,662.24,662.26,281
1758548485,662.26,662.39,662.26,662.38,336
1758548490,662.38,662.41,662.37,662.39,390
1758548495,662.4,662.42,662.37,662.4,453
1758548500,662.41,662.42,662.33,662.34,391
1758548505,662.34,662.39,662.34,662.38,263
1758548510,662.38,662.41,662.38,662.41,128
1758548515,662.41,662.49,662.39,662.47,567
1758548520,662.47,662.5,662.45,662.48,602
1758548525,662.47,662.47,662.38,662.39,192
1758548530,662.4,662.47,662.4,662.45,300
1758548535,662.45,662.49,662.44,662.45,506
1758548540,662.45,662.48,662.42,662.43,411
1758548545,662.43,662.48,662.41,662.48,488
1758548550,662.48,662.48,662.41,662.42,359
1758548555,662.42,662.46,662.38,662.46,865
