Date,Open,High,Low,Close,Volume
1752240600,622.73,622.87,622.42,622.83,8814
1752240605,622.84,623.02,622.82,623.0,937
1752240610,623.01,623.22,622.98,623.22,863
1752240615,623.21,623.24,623.14,623.24,1063
1752240620,623.23,623.36,623.23,623.35,834
1752240625,623.36,623.45,623.35,623.44,656
1752240630,623.44,623.52,623.39,623.41,597
1752240635,623.42,623.45,623.33,623.36,630
1752240640,623.35,623.44,623.3,623.31,988
1752240645,623.32,623.32,623.21,623.22,1228
1752240650,623.21,623.23,623.11,623.17,328
1752240655,623.17,623.2,623.13,623.2,481
1752240660,623.2,623.22,623.1,623.16,1377
1752240665,623.15,623.21,623.05,623.08,815
1752240670,623.07,623.15,623.06,623.13,678
1752240675,623.11,623.14,623.04,623.08,880
1752240680,623.08,623.08,623.03,623.07,385
1752240685,623.06,623.08,622.99,622.99,545
1752240690,622.98,623.02,622.97,623.0,699
1752240695,623.0,623.03,622.99,623.01,452
1752240700,623.01,623.06,622.99,623.05,420
1752240705,623.03,623.08,622.99,623.07,685
1752240710,623.05,623.1,622.98,623.06,309
1752240715,623.05,623.05,622.85,622.87,1164
1752240720,622.88,622.92,622.83,622.92,557
1752240725,622.91,622.92,622.77,622.86,865
1752240730,622.85,622.94,622.83,622.91,365
1752240735,622.91,622.94,622.88,622.93,448
1752240740,622.89,622.92,622.83,622.87,515
1752240745,622.86,622.98,622.84,622.93,680
1752240750,622.93,622.96,622.84,622.85,389
1752240755,622.85,622.85,622.74,622.75,741
1752240760,622.76,622.89,622.76,622.84,700
1752240765,622.84,622.88,622.77,622.79,211
1752240770,622.78,622.79,622.73,622.76,424
1752240775,622.76,622.84,622.75,622.82,225
1752240780,622.81,622.81,622.66,622.75,668
1752240785,622.74,622.78,622.71,622.72,463
1752240790,622.73,622.77,622.72,622.77,372
1752240795,622.78,622.78,622.68,622.72,361
1752240800,622.72,622.82,622.72,622.77,181
1752240805,622.77,622.78,622.66,622.66,1131
1752240810,622.66,622.69,622.64,622.68,564
1752240815,622.67,622.69,622.64,622.66,191
1752240820,622.67,622.73,622.62,622.62,441
1752240825,622.63,622.65,622.6,622.63,642
1752240830,622.63,622.69,622.62,622.64,185
1752240835,622.63,622.66,622.62,622.64,218
1752240840,622.66,622.68,622.59,622.59,536
1752240845,622.59,622.59,622.55,622.58,327
1752240850,622.58,622.66,622.58,622.63,259
1752240855,622.63,622.66,622.62,622.66,196
1752240860,622.66,622.66,622.58,622.59,524
1752240865,622.59,622.68,622.59,622.67,202
1752240870,622.67,622.68,622.61,622.66,251
1752240875,622.66,622.7,622.66,622.69,221
1752240880,622.69,622.69,622.61,622.61,340
1752240885,622.62,622.69,622.61,622.68,181
1752240890,622.68,622.68,622.56,622.6,283
1752240895,622.59,622.64,622.57,622.63,165
1752240900,622.63,622.64,622.59,622.61,440
1752240905,622.62,622.63,622.48,622.51,660
1752240910,622.5,622.52,622.48,622.49,372
1752240915,622.49,622.57,622.46,622.54,717
1752240920,622.54,622.57,622.51,622.55,140
1752240925,622.55,622.55,622.43,622.43,329
1752240930,622.45,622.45,622.32,622.35,707
1752240935,622.3,622.42,622.3,622.4,320
1752240940,622.41,622.48,622.39,622.46,290
1752240945,622.47,622.52,622.46,622.5,184
1752240950,622.51,622.56,622.5,622.5,150
1752240955,622.5,622.55,622.5,622.52,332
1752240960,622.54,622.54,622.49,622.51,502
1752240965,622.52,622.56,622.48,622.48,247
1752240970,622.48,622.53,622.47,622.51,324
1752240975,622.52,622.61,622.52,622.61,233
1752240980,622.6,622.62,622.55,622.57,231
1752240985,622.56,622.59,622.52,622.52,170
1752240990,622.52,622.53,622.48,622.49,167
1752240995,622.5,622.55,622.49,622.54,104
1752241000,622.56,622.62,622.56,622.61,233
1752241005,622.61,622.65,622.55,622.57,328
1752241010,622.57,622.66,622.55,622.62,271
1752241015,622.62,622.67,622.61,622.66,297
1752241020,622.65,622.65,622.55,622.55,309
1752241025,622.56,622.56,622.49,622.54,445
1752241030,622.54,622.55,622.51,622.54,95
1752241035,622.54,622.56,622.45,622.46,317
1752241040,622.45,622.47,622.42,622.42,328
1752241045,622.44,622.48,622.43,622.48,120
1752241050,622.46,622.46,622.37,622.4,214
1752241055,622.38,622.39,622.3,622.34,217
1752241060,622.35,622.37,622.31,622.32,69
1752241065,622.32,622.34,622.31,622.32,143
1752241070,622.31,622.34,622.31,622.33,152
1752241075,622.33,622.33,622.28,622.32,283
1752241080,622.3,622.32,622.21,622.32,1155
1752241085,622.31,622.33,622.28,622.29,176
1752241090,622.29,622.31,622.26,622.31,165
1752241095,622.31,622.34,622.3,622.31,548
1752241100,622.32,622.33,622.27,622.29,338
1752241105,622.26,622.34,622.21,622.23,402
1752241110,622.21,622.21,622.14,622.14,582
1752241115,622.14,622.18,622.13,622.16,286
1752241120,622.15,622.24,622.14,622.22,238
1752241125,622.21,622.27,622.21,622.25,422
1752241130,622.25,622.26,622.19,622.21,289
1752241135,622.2,622.2,622.16,622.17,181
1752241140,622.17,622.17,621.99,622.01,1073
1752241145,622.02,622.15,622.01,622.15,349
1752241150,622.15,622.19,622.14,622.15,389
1752241155,622.14,622.14,622.09,622.14,245
1752241160,622.14,622.19,622.13,622.14,65
1752241165,622.13,622.14,622.07,622.09,316
1752241170,622.09,622.15,622.09,622.13,200
1752241175,622.13,622.16,622.1,622.16,192
1752241180,622.15,622.21,622.15,622.19,271
1752241185,622.19,622.25,622.18,622.23,219
1752241190,622.23,622.26,622.22,622.26,117
1752241195,622.26,622.3,622.25,622.27,369
