Date,Open,High,Low,Close,Volume
1749216600,598.66,598.67,598.06,598.5,5738
1749216605,598.49,598.57,598.4,598.5,1563
1749216610,598.51,598.7,598.5,598.63,2970
1749216615,598.63,598.65,598.52,598.58,2535
1749216620,598.58,598.58,598.41,598.47,1685
1749216625,598.47,598.59,598.43,598.56,1060
1749216630,598.55,598.6,598.51,598.56,967
1749216635,598.56,598.66,598.51,598.54,780
1749216640,598.51,598.55,598.47,598.53,412
1749216645,598.52,598.54,598.42,598.44,585
1749216650,598.44,598.5,598.43,598.49,544
1749216655,598.51,598.61,598.48,598.51,648
1749216660,598.51,598.74,598.5,598.62,1435
1749216665,598.62,598.86,598.62,598.84,1133
1749216670,598.84,598.91,598.78,598.79,972
1749216675,598.79,598.9,598.76,598.89,478
1749216680,598.89,599.03,598.89,598.95,858
1749216685,598.94,599.0,598.88,598.95,635
1749216690,598.96,598.97,598.79,598.8,659
1749216695,598.81,598.86,598.76,598.8,336
1749216700,598.81,598.95,598.8,598.91,607
1749216705,598.91,598.97,598.9,598.96,253
1749216710,598.95,598.97,598.81,598.83,575
1749216715,598.85,598.9,598.83,598.88,245
1749216720,598.88,598.93,598.8,598.82,659
1749216725,598.79,598.81,598.63,598.65,735
1749216730,598.66,598.72,598.51,598.62,849
1749216735,598.65,598.81,598.65,598.81,840
1749216740,598.8,598.82,598.69,598.74,1048
1749216745,598.75,598.84,598.73,598.78,838
1749216750,598.79,598.89,598.79,598.87,509
1749216755,598.87,598.88,598.78,598.78,1729
1749216760,598.8,598.9,598.77,598.8,829
1749216765,598.8,598.8,598.7,598.75,374
1749216770,598.76,598.87,598.7,598.86,494
1749216775,598.85,598.94,598.84,598.92,521
1749216780,598.92,598.92,598.83,598.85,741
1749216785,598.84,598.93,598.8,598.91,637
1749216790,598.93,599.02,598.92,598.98,1230
1749216795,598.98,599.04,598.96,598.99,673
1749216800,598.98,599.05,598.98,598.99,555
1749216805,598.97,598.98,598.93,598.95,315
1749216810,598.96,599.0,598.92,598.94,409
1749216815,598.96,599.18,598.96,599.15,835
1749216820,599.15,599.15,598.94,598.96,676
1749216825,598.96,598.96,598.82,598.86,395
1749216830,598.87,598.97,598.83,598.97,361
1749216835,598.97,599.06,598.97,598.99,925
1749216840,599.01,599.11,599.01,599.01,547
1749216845,599.03,599.03,598.91,598.93,425
1749216850,598.92,599.0,598.89,598.9,309
1749216855,598.91,599.05,598.89,599.03,493
1749216860,599.04,599.07,599.01,599.05,1032
1749216865,599.04,599.04,598.96,599.0,385
1749216870,599.01,599.01,598.96,598.99,341
1749216875,599.0,599.04,598.91,598.92,749
1749216880,598.92,598.97,598.91,598.93,509
1749216885,598.94,599.02,598.89,598.97,245
1749216890,599.01,599.06,599.0,599.01,220
1749216895,599.02,599.1,599.01,599.06,349
1749216900,599.06,599.12,599.04,599.12,639
1749216905,599.13,599.14,599.04,599.07,528
1749216910,599.07,599.13,599.02,599.05,812
1749216915,599.05,599.05,598.89,598.92,565
1749216920,598.91,599.0,598.89,598.99,358
1749216925,599.0,599.0,598.89,598.97,458
1749216930,598.96,599.01,598.9,598.92,324
1749216935,598.93,598.97,598.91,598.91,368
1749216940,598.92,598.95,598.87,598.94,478
1749216945,598.94,598.97,598.91,598.97,283
1749216950,598.98,599.02,598.96,599.02,197
1749216955,598.99,599.0,598.93,598.95,419
1749216960,598.95,599.01,598.95,599.01,508
1749216965,599.02,599.02,598.95,598.98,511
1749216970,598.98,598.98,598.87,598.88,468
