====================================================================================================
RL TRAINING LOG
====================================================================================================

Training Period: Episodes 0 to 412
Total Episodes: 413

EPISODE-BY-EPISODE P&L TRENDS
----------------------------------------------------------------------------------------------------
Episode    P&L             Reward          Loss            Steps     
----------------------------------------------------------------------------------------------------
0          $-1315.25       661.14          1989.959462     993       
1          $-1483.50       497.30          1130.895608     1020      
2          $-2543.25       -564.82         1328.404827     925       
3          $-2622.50       -645.57         1386.139089     1189      
4          $-790.00        1190.26         5557.404738     1133      
5          $-1759.25       217.44          241.662346      1022      
6          $-1362.75       614.32          1754.835186     982       
7          $-2543.00       -564.93         1273.186113     991       
8          $-2000.75       -23.87          0.072532        924       
9          $-2215.50       -237.00         217.363772      891       
10         $-2346.00       -366.92         520.102126      902       
11         $-1364.75       614.34          1889.981875     943       
12         $-793.25        1185.13         6435.180962     916       
13         $-2373.75       -395.77         651.426695      982       
14         $-2003.25       -23.51          0.334708        894       
15         $-2002.50       -25.06          0.718883        2525      
16         $-2377.00       -396.53         572.625412      892       
17         $-2001.00       -23.86          0.146082        1094      
18         $-3265.50       -1291.80        2129.409197     3214      
19         $-2004.50       -23.58          0.996077        850       
20         $-2267.50       -289.31         302.106480      982       
21         $-1691.50       287.64          418.196065      1004      
22         $-1999.00       -24.32          5.557319        1581      
23         $-2000.50       -23.76          0.142581        1059      
24         $-2354.50       -376.46         573.596931      883       
25         $-870.75        1106.41         4440.322497     1167      
26         $-2332.75       -355.64         454.305092      1020      
27         $-1777.75       201.46          204.783731      1180      
28         $-1757.00       220.43          291.902644      897       
29         $-2004.50       -24.72          1.278327        1574      
30         $-2666.50       -689.43         1961.998707     959       
31         $-1692.00       285.85          455.340233      946       
32         $-2415.75       -434.89         689.928406      982       
33         $-1858.75       118.63          100.399334      907       
34         $-2004.75       -23.82          1.481369        899       
35         $-2023.75       -42.65          0.931549        838       
36         $-2541.00       -564.45         1220.357570     1013      
37         $-1962.00       16.20           8.160885        1447      
38         $-2000.25       -24.20          1.033462        1351      
39         $-2003.75       -23.84          0.370504        926       
40         $-2000.25       -23.70          0.086378        982       
41         $-2001.50       -24.09          0.080055        1269      
42         $-762.50        1208.78         1989.545852     3276      
43         $-1292.75       683.53          776.725124      2771      
44         $-2570.00       -588.66         1278.227095     1095      
45         $-2282.50       -305.39         184.044884      1695      
46         $-2056.75       -84.07          3.013990        3011      
47         $-1618.75       -277.41         52.085076       5000      
48         $-2014.25       -36.23          0.036169        2488      
49         $-1684.25       290.42          204.810031      2078      
50         $-1523.75       451.70          502.905519      1935      
51         $-1998.75       -22.96          0.597389        3622      
52         $-1367.00       606.07          930.784677      2181      
53         $-2004.25       -24.95          0.182783        1447      
54         $-1606.00       -72.86          2.005504        5000      
55         $730.25         1347.20         1561.026447     5000      
56         $196.50         1220.36         1340.668629     5000      
57         $-2004.50       -29.34          0.070742        3059      
58         $-1522.50       -81.09          2.709081        5000      
59         $-1278.00       698.39          1135.993382     1965      
60         $-1672.50       302.63          197.929921      2302      
61         $-1877.75       95.74           24.465315       2649      
62         $-578.75        -347.14         100.339165      5000      
63         $1374.75        1488.80         1555.556904     5000      
64         $-1883.00       89.93           14.297074       3847      
65         $-1435.25       544.51          850.082928      1373      
66         $-1800.00       176.98          77.550230       2157      
67         $-2004.25       -25.22          0.054688        1546      
68         $-1379.75       594.85          616.639359      2295      
69         $-2397.25       -421.97         340.634926      1864      
70         $-819.50        1156.71         2097.083615     2656      
71         $-1896.25       80.16           25.787847       2003      
72         $103.75         1373.05         1425.700495     5000      
73         $-2003.75       -24.53          0.933548        1233      
74         $456.25         1193.54         1330.690446     5000      
75         $-1694.50       281.81          150.173030      1862      
76         $-1371.25       601.58          627.805262      2835      
77         $-2340.50       -363.94         335.825208      1731      
78         $-1674.25       299.00          161.757676      2951      
79         $-2003.00       -25.23          0.124643        1681      
80         $-1518.50       456.86          471.104517      1642      
81         $-2001.50       -27.15          3.138981        2141      
82         $-793.75        -533.28         466.325741      5000      
83         $-2003.50       -25.65          0.744404        1900      
84         $1166.25        1264.79         1183.968423     5000      
85         $436.00         708.28          363.161754      5000      
86         $251.50         916.05          689.237725      5000      
87         $131.75         850.54          539.675981      5000      
88         $929.00         1209.06         1053.187619     5000      
89         $-1655.00       319.91          228.638639      2089      
90         $-1855.75       116.47          20.377516       2891      
91         $-1910.75       64.09           13.317361       3972      
92         $-1284.00       689.30          988.064087      2078      
93         $-1879.75       89.06           23.376416       4514      
94         $-2233.25       -257.43         163.369276      1688      
95         $-1677.25       296.91          137.926571      2949      
96         $-1732.75       242.28          155.305109      1542      
97         $-2148.25       -173.30         61.232214       1657      
98         $-2002.00       -25.46          -0.049856       1738      
99         $-1893.75       79.11           16.793070       2562      
100        $-1634.50       340.55          319.730257      1727      
