====================================================================================================
RL TRAINING LOG
====================================================================================================

Training Period: Episodes 0 to 401
Total Episodes: 402

EPISODE-BY-EPISODE P&L TRENDS
----------------------------------------------------------------------------------------------------
Episode    P&L             Reward          Loss            Steps     
----------------------------------------------------------------------------------------------------
0          $-1327.75       650.49          2097.590395     936       
1          $-2625.75       -643.80         1087.507774     1473      
2          $-1802.50       179.58          168.413505      960       
3          $-2002.00       -22.16          -0.001556       997       
4          $-2589.25       -609.44         1355.668529     1077      
5          $-1358.25       612.13          393.984728      4667      
6          $-2038.75       -59.26          4.606173        1324      
7          $-2002.50       -22.26          0.034963        1102      
8          $-1807.00       173.60          89.368204       1847      
9          $-2004.50       -22.32          0.247377        1164      
10         $-809.25        1170.17         3031.717963     2010      
11         $-2118.25       -138.78         49.038936       1088      
12         $-2001.75       -22.19          -0.003215       1032      
13         $-2241.50       -263.72         242.017423      1002      
14         $-2315.50       -348.79         109.644820      3617      
15         $-2003.00       -22.15          0.056646        999       
16         $-2002.75       -22.11          0.102872        1023      
17         $-2004.25       -25.17          0.645459        2965      
18         $-1879.50       99.20           47.364270       1407      
19         $-2002.00       -23.35          0.133780        1617      
20         $-853.00        1127.87         2721.691626     2075      
21         $-2326.50       -349.13         358.443309      1253      
22         $-1827.50       -282.82         54.995533       5000      
23         $-2245.00       -265.18         191.357110      1233      
24         $-620.75        1356.27         3163.950155     2577      
25         $-2025.00       -66.11          0.857693        5000      
26         $-2005.00       -22.76          0.007209        1254      
27         $-2002.50       -25.54          0.069149        2496      
28         $-2003.25       -23.58          0.043075        2953      
29         $-2004.75       -21.61          0.008416        2914      
30         $-2339.00       -364.51         151.774036      3135      
31         $-325.75        404.92          147.003109      5000      
32         $-697.75        4.67            0.070136        5000      
33         $-1350.25       623.35          462.922639      3910      
34         $-1344.25       112.49          15.412515       5000      
35         $-52.00         63.30           26.262005       5000      
36         $-2001.25       -29.24          0.103412        3815      
37         $-256.50        -35.42          4.330946        5000      
38         $-969.50        726.93          476.603158      5000      
39         $-2000.75       -25.57          0.059712        1800      
40         $-1253.00       723.90          796.952371      2972      
41         $-1649.50       324.27          151.666080      3450      
42         $-1593.75       385.27          308.764616      2300      
43         $-627.25        -590.12         262.631484      5000      
44         $-2686.75       -710.45         696.642607      2815      
45         $-1201.50       -4.93           0.271080        5000      
46         $-386.50        -166.03         25.253937       5000      
47         $1043.75        1256.30         1360.117355     5000      
48         $-661.25        -561.55         209.718016      5000      
49         $774.00         1233.16         1308.027848     5000      
50         $1219.00        1457.97         1839.518900     5000      
51         $-1635.25       341.36          132.947490      4291      
52         $-1798.25       173.77          47.800878       3293      
53         $-730.75        565.32          292.517711      5000      
54         $-2127.75       -148.89         37.498246       1735      
55         $-2730.50       -764.64         508.913458      4478      
56         $-1360.50       617.54          1567.285658     1162      
57         $-2441.50       -462.68         665.791714      1102      
58         $-1818.25       160.29          142.064194      959       
59         $-1872.75       107.70          68.211027       968       
60         $-2923.75       -942.45         2987.650134     1161      
61         $-3245.75       -1265.75        5708.877024     1098      
62         $-2003.50       -22.43          4.704775        1103      
63         $-1357.00       624.93          1926.721042     953       
64         $-1438.25       525.50          344.415966      4339      
65         $-753.50        1224.89         6964.831625     981       
66         $-2003.25       -22.23          4.454247        1123      
67         $-2274.00       -293.83         288.942983      1162      
68         $-1404.75       576.16          1542.034878     959       
69         $-2001.00       -22.18          0.835089        1006      
70         $-2523.25       -548.48         299.518047      3793      
71         $-1691.50       288.02          385.269315      1006      
72         $-2023.75       -45.56          1.012947        1222      
73         $-2285.25       -306.03         281.972604      1143      
74         $-2013.50       -34.86          0.458150        1439      
75         $-2002.50       -23.53          3.930072        1640      
76         $435.75         1351.87         1467.746328     5000      
77         $-2004.00       -22.64          0.281383        1223      
78         $-2005.00       -22.65          0.055432        1167      
79         $-1794.50       184.15          142.984955      1250      
80         $-1916.50       47.93           6.980864        4380      
81         $-2200.50       -220.02         161.551615      978       
82         $-2004.00       -28.07          1.990438        2413      
83         $-2263.50       -288.00         105.230036      2587      
84         $-2004.00       -23.90          0.129387        1672      
85         $-2259.50       -281.00         156.041629      1752      
86         $-3297.75       -1319.44        6377.246008     1142      
87         $-2330.25       -353.75         297.632769      1510      
88         $-2003.25       -23.89          0.194787        1393      
89         $-2305.25       -328.31         296.603865      1275      
90         $-2712.00       -734.34         1936.765548     1119      
91         $-2001.75       -22.02          0.196595        1019      
92         $-2000.75       -21.99          0.068764        920       
93         $-2003.00       -22.42          0.293449        1096      
94         $-1399.25       579.90          1732.412611     911       
95         $-1810.00       172.27          141.868758      1040      
96         $-1811.50       167.98          155.647025      985       
97         $-1672.25       305.68          428.394984      945       
98         $-2507.75       -528.29         811.033048      1306      
99         $-2002.25       -22.41          0.417535        1029      
100        $-2644.00       -665.58         1900.800634     951       
101        $-2001.25       -22.30          0.872107        1029      
102        $-3309.00       -1330.28        5055.282447     1452      
