feature,family,lag,volume_normalized,target,horizon,target_kind,correlation,abs_correlation,n_samples
ES_minus_SPX_pct_1,ES_minus_SPX,1,False,ES_fwd_ret_360,360,signed,-0.0004124680953235742,0.0004124680953235742,1120601
ES_pct_300_per_ESvol,ES,300,True,ES_fwd_up_60,60,binary,0.0004092475770199388,0.0004092475770199388,1064789
SPY_minus_SPX_pct_5_per_ESvol,SPY_minus_SPX,5,True,ES_fwd_ret_360,360,signed,0.000408879653378956,0.000408879653378956,1100066
SPY_pct_3_per_ESvol,SPY,3,True,ES_fwd_ret_12,12,signed,0.0004088454490574596,0.0004088454490574596,1190671
ES_minus_SPY_pct_60,ES_minus_SPY,60,False,ES_fwd_ret_360,360,signed,-0.0004085324050641794,0.0004085324050641794,1105084
ES_minus_SPY_pct_8,ES_minus_SPY,8,False,ES_fwd_up_120,120,binary,-0.00040834747549064955,0.00040834747549064955,1136313
ES_minus_SPX_pct_8_per_ESvol,ES_minus_SPX,8,True,ES_fwd_up_360,360,binary,0.00040715965715611423,0.00040715965715611423,1084146
SPX_pct_360_per_ESvol,SPX,360,True,ES_fwd_up_60,60,binary,-0.00040621429685848046,0.00040621429685848046,1049541
ES_minus_SPX_pct_20_per_ESvol,ES_minus_SPX,20,True,ES_fwd_ret_240,240,signed,-0.0004039772812468804,0.0004039772812468804,1127229
ES_minus_SPX_pct_8,ES_minus_SPX,8,False,ES_fwd_ret_60,60,signed,-0.0004025816434332562,0.0004025816434332562,1197660
ES_minus_SPX_pct_5_per_ESvol,ES_minus_SPX,5,True,ES_fwd_ret_12,12,signed,0.000400859376499549,0.000400859376499549,1190153
ES_minus_SPY_pct_8,ES_minus_SPY,8,False,ES_fwd_ret_12,12,signed,-0.00039956256395922096,0.00039956256395922096,1210284
ES_minus_SPY_pct_1,ES_minus_SPY,1,False,ES_fwd_up_180,180,binary,0.0003989075119676249,0.0003989075119676249,1127757
SPX_pct_1_per_ESvol,SPX,1,True,ES_fwd_ret_60,60,signed,0.00039851051219406877,0.00039851051219406877,1178757
SPY_minus_SPX_pct_1,SPY_minus_SPX,1,False,ES_fwd_ret_360,360,signed,-0.0003959817361184127,0.0003959817361184127,1120601
SPX_pct_20_per_ESvol,SPX,20,True,ES_fwd_ret_120,120,signed,-0.0003952292273905033,0.0003952292273905033,1158296
SPY_minus_SPX_pct_2,SPY_minus_SPX,2,False,ES_fwd_up_120,120,binary,-0.00039521741622552037,0.00039521741622552037,1137842
ES_minus_SPX_pct_1_per_ESvol,ES_minus_SPX,1,True,ES_fwd_up_60,60,binary,0.00039429730918287933,0.00039429730918287933,1140894
SPY_minus_SPX_pct_60_per_ESvol,SPY_minus_SPX,60,True,ES_fwd_ret_360,360,signed,0.0003941918683321285,0.0003941918683321285,1085821
